06N,MAGNA POLONIA SA
08N,OCTAVA SA
11B,11 BIT STUDIOS SA
1AT,ATAL SA
4FM,4FUN MEDIA SA
AAT,ALTA SA
ABA,ABADON REAL ESTATE SA
ABC,ABC DATA SA
ABE,AB SA
ABM,ABM SOLID SA
ABS,ASSECO BUSINESS SOLUTIONS SA
ACG,AC SA
ACP,ASSECO POLAND SA
ACT,ACTION SA
ADV,ADIUVO INVESTMENTS SA
AGO,AGORA SA
AGT,AGROTON GROUP OF COMPANIES
ALC,ALCHEMIA SA
ALI,ALTUS TOWARZYSTWO FUNDUSZY INWESTYCYJNYCH SA
ALL,AILLERON SA
ALR,ALIOR BANK SA
AMB,GRUPA AMBRA SA
AMC,AMICA SA
AML,ALUMETAL SA
APE,APS ENERGIA SA
APL,AMPLI SA
APN,APLISENS SA
APR,AUTO PARTNER SA
APT,GRUPA APATOR SA
ARC,ARCUS SA
ARH,ARCHICOM SA
ARR,ARTERIA SA
ART,ARTIFEX MUNDI SA
ASB,ASBISC ENTERPRISES PLC
ASE,ASSECO SOUTH EASTERN EUROPE SA
ASM,ASM GROUP SA
AST,ASTARTA HOLDING NV
ATC,ARCTIC PAPER SA
ATD,ATENDE SA
ATG,ATM GRUPA SA
ATL,ATLAS ESTATES LIMITED
ATM,ATM SA
ATP,ATLANTA POLAND SA
ATR,ATREM SA
ATS,ATLANTIS SE
ATT,GRUPA AZOTY SA
AUG,AUGA GROUP AB
AWB,AWBUD SA
AWM,AIRWAY MEDIX SA
BAH,BRITISH AUTOMOTIVE HOLDING SA
BAL,PRZEDSIĘBIORSTWO HANDLU ZAGRANICZNEGO BALTONA SA
BBD,BBI DEVELOPMENT SA
BCM,BETACOM SA
BDL,BUDOPOL WROCŁAW SA
BDX,BUDIMEX SA
BDZ,ELEKTROCIEPŁOWNIA BĘDZIN SA
BFT,BENEFIT SYSTEMS SA
BHW,BANK HANDLOWY W WARSZAWIE SA
BIK,BIURO INWESTYCJI KAPITAŁOWYCH SA
BIO,BIOTON SA
BKM,POLSKI BANK KOMÓREK MACIERZYSTYCH SA
BMC,BUMECH SA
BML,BIOMED-LUBLIN WYTWÓRNIA SUROWIC I SZCZEPIONEK SA
BNP,BANK BGŻ BNP PARIBAS SA
BOS,BANK OCHRONY ŚRODOWISKA SA
BOW,BOWIM SA
BRA,BRASTER SA
BRG,BERLING SA
BRS,BORYSZEW SA
BSC,BSC DRUKARNIA OPAKOWAŃ SA
BST,BEST SA
BWO,BUWOG AG
CAR,INTER CARS SA
CCC,CCC SA
CCE,CLEAN & CARBON ENERGY SA
CDL,CDRL SA
CDR,CD PROJEKT SA
CEZ,CEZ AS
CFI,CFI HOLDING SA
CHS,CHEMOSERVIS-DWORY SA
CIE,CIECH SA
CIG,CI GAMES SA
CLE,COAL ENERGY SA
CLN,CELON PHARMA SA
CMP,COMP SA
CMR,COMARCH SA
CNG,CERAMIKA NOWA GALA SA
CNT,CENTRUM NOWOCZESNYCH TECHNOLOGII SA
COG,COGNOR HOLDING SA
CPA,CAPITAL PARTNERS SA
CPD,CPD SA
CPG,CAPITAL PARK SA
CPL,COMPERIA.PL SA
CPS,CYFROWY POLSAT SA
CRM,PZ CORMAY SA
CTC,CALATRAVA CAPITAL SA
CTG,CUBE.ITG SA
CTS,CITY SERVICE AS
CZT,CZERWONA TOREBKA SA
DAT,DATAWALK SA
DATA,DATAWALK SA - PDA
DBC,FIRMA OPONIARSKA DĘBICA SA
DCR,DECORA SA
DEK,DEKPOL SA
DEL,DELKO SA
DGA,DGA SA
DNP,DINO POLSKA SA
DOM,DOM DEVELOPMENT SA
DPL,DROZAPOL-PROFIL SA
DRE,DREWEX SA
DRP,DROP SA
EAH,ESOTIQ & HENDERSON SA
EAT,AMREST HOLDINGS SE
ECH,ECHO INVESTMENT SA
EDI,ED INVEST SA
EEX,EKO EXPORT SA
EFK,KORPORACJA GOSPODARCZA EFEKT SA
EGS,ERGIS SA
EHG,EUROHOLD BULGARIA AD
EKP,PRZEDSIĘBIORSTWO ELEKTROMONTAŻOWE ELKOP SA
ELB,ELEKTROBUDOWA SA
ELT,ELEKTROTIM SA
ELZ,ZAKŁADY URZĄDZEŃ KOMPUTEROWYCH ELZAB SA
EMC,EMC INSTYTUT MEDYCZNY SA
EMT,ELEMENTAL HOLDING SA
ENA,ENEA SA
ENE,CENTRUM MEDYCZNE ENEL-MED SA
ENG,ENERGA SA
ENI,ENERGOINSTAL SA
ENP,ENERGOAPARATURA SA
ENT,ENTER AIR SA
ERB,ERBUD SA
ERG,ERG SA
ESS,ES-SYSTEM SA
EST,ENEFI ENERGIAHATÉKONYSÁGI NYRT
ETL,EUROTEL SA
EUC,EUROPEJSKIE CENTRUM ODSZKODOWAŃ SA
EUR,EUROCASH SA
EVE,EVEREST INVESTMENTS SA
FEE,FEERUM SA
FER,FERRUM SA
FFI,FAST FINANCE SA
FGT,FENGHUA SOLETECH AG
FMF,FABRYKA MASZYN FAMUR SA
FMG,FINANCIAL ASSETS MANAGEMENT GROUP SA
FON,FON SE SA
FRO,FERRO SA
FSG,FABRYKA SPRZĘTU I NARZĘDZI GÓRNICZYCH FASING SA
FTE,FABRYKI MEBLI FORTE SA
GBK,GETBACK SA
GCN,GROCLIN SA
GKI,GRUPA KAPITAŁOWA IMMOBILE SA
GLC,GLOBAL COSMED SA
GNB,GETIN NOBLE BANK SA
GOB,GOBARTO SA
GPR,GLOBALWORTH POLAND REAL ESTATE GROUP NV
GPW,GIEŁDA PAPIERÓW WARTOŚCIOWYCH W WARSZAWIE SA
GRI,GINO ROSSI SA
GRN,GRODNO SA
GTC,GLOBE TRADE CENTRE SA
GTN,GETIN HOLDING SA
HDR,PRZEDSIĘBIORSTWO HYDRAULIKI SIŁOWEJ HYDROTOR SA
HEL,HELIO SA
HLD,HOLLYWOOD SA
HRP,HARPER HYGIENICS SA
HRS,HERKULES SA
HUB,HUBSTYLE SA
HYP,HYPERION SA
I2D,I2 DEVELOPMENT SA
IAG,SATIS GROUP SA
IBS,IBSM SA
IDA,IDEA BANK SA
IDE,IDEON SA
IDG,INDYGOTECH MINERALS SA
IDM,DOM MAKLERSKI IDM SA
IDT,INDATA SA
IFC,INVESTMENT FRIENDS CAPITAL SE SA
IFI,IFIRMA SA
IFR,INVESTMENT FRIENDS SE SA
IIA,IMMOFINANZ AG
IMC,IMC SA
IMP,IMPERA CAPITAL SA
IMS,IMS SA
INC,INC SA
IND,INDYKPOL SA
INF,INTERFERIE SA
ING,ING BANK ŚLĄSKI SA
INK,INSTAL KRAKÓW SA
INL,INTROL SA
INP,INPRO SA
INV,INVISTA SA
IPE,IPOPEMA SECURITIES SA
IPF,INTERNATIONAL PERSONAL FINANCE PLC
IPL,IMPEL SA
IPO,INTERSPORT POLSKA SA
IPX,IMPEXMETAL SA
IQP,IQ PARTNERS SA
IRL,INTER RAO LIETUVA AB
ITB,INTERBUD-LUBLIN SA
ITM,INTERMA TRADE SA
IZB,IZOBLOK SA
IZO,IZOLACJA JAROCIN SA
IZS,IZOSTAL SA
JHM,JHM DEVELOPMENT SA
JJO,JJ AUTO AG
JSW,JASTRZĘBSKA SPÓŁKA WĘGLOWA SA
JWC,JW CONSTRUCTION HOLDING SA
JWW,JWW INVEST SA
K2I,K2 INTERNET SA
KAN,ZAKŁADY MIĘSNE HENRYK KANIA SA
KBD,KORPORACJA BUDOWLANA DOM SA
KCH,KRAKCHEMIA SA
KCI,KCI SA
KDM,KDM SHIPPING PUBLIC LIMITED
KER,KERNEL HOLDING SA
KGH,KGHM POLSKA MIEDŹ SA
KGL,KORPORACJA KGL SA
KGN,ZESPÓŁ ELEKTROCIEPŁOWNI WROCŁAWSKICH KOGENERACJA SA
KMP,PRZEDSIĘBIORSTWO PRODUKCYJNO-HANDLOWE KOMPAP SA
KOM,KOMPUTRONIK SA
KPD,KOSZALIŃSKIE PRZEDSIĘBIORSTWO PRZEMYSŁU DRZEWNEGO SA
KPL,KINO POLSKA TV SA
KRC,KRYNICKI RECYKLING SA
KRI,KREDYT INKASO SA
KRK,KRKA DD
KRU,KRUK SA
KSG,KSG AGRO SA
KST,KONSORCJUM STALI SA
KSW,ZAKŁADY TŁUSZCZOWE KRUSZWICA SA
KTY,GRUPA KĘTY SA
KVT,KRYNICA VITAMIN SA
KZS,KREZUS SA
LAB,LABO PRINT SA
LBT,LIBET SA
LBW,LUBAWA SA
LCC,LC CORP SA
LEN,LENA LIGHTING SA
LKD,LOKUM DEWELOPER SA
LPP,LPP SA
LRK,LARK.PL SA
LRQ,LARQ SA
LSI,LSI SOFTWARE SA
LTS,GRUPA LOTOS SA
LTX,LENTEX SA
LVC,LIVECHAT SOFTWARE SA
LWB,LUBELSKI WĘGIEL BOGDANKA SA
MAB,MABION SA
MAK,MAKARONY POLSKIE SA
MBK,MBANK SA
MBR,MO-BRUK SA
MBW,MARIE BRIZARDS WINE & SPIRITS SA
MCI,MCI CAPITAL SA
MCP,MEDIACAP SA
MCR,MERCOR SA
MDG,MEDICALGORITHMICS SA
MDI,MDI ENERGIA SA
MEG,MEGARON SA
MEX,MEX POLSKA SA
MFO,MFO SA
MGT,MANGATA HOLDING SA
MIL,BANK MILLENNIUM SA
MIR,MIRACULUM SA
MLG,MLP GROUP SA
MLK,MILKILAND NV
MLS,ML SYSTEM SA
MNC,MENNICA POLSKA SA
MOJ,MOJ SA
MOL,MOL MAGYAR OLAJ-ÉS GÁZIPARI RÉSZVÉNYTÁRSASÁG
MON,MONNARI TRADE SA
MPH,MASTER PHARM SA
MRB,MIRBUD SA
MRC,MERCATOR MEDICAL SA
MSP,MOSTOSTAL PLOCK SA
MSW,MOSTOSTAL WARSZAWA SA
MSZ,MOSTOSTAL ZABRZE SA
MTL,MEDIATEL SA
MVP,MARVIPOL DEVELOPMENT SA
MWT,MW TRADE SA
MXC,MAXCOM SA
MZA,MUZA SA
MZN,MZN PROPERTY SA
NCT,NORTH COAST SA
NEM,NETMEDIA SA
NET,NETIA SA
NEU,NEUCA SA
NNG,NANOGROUP SA
NTT,NTT SYSTEM SA
NTU,NOVATURAS AB
NVA,PA NOVA SA
NVT,NOVITA SA
NWG,NEWAG SA
NWR,NEW WORLD RESOURCES NV
OAT,ONCOARENDI THERAPEUTICS SA
OBL,ORZEŁ BIAŁY SA
ODL,ODLEWNIE POLSKIE SA
OEX,OEX SA
OPF,OPEN FINANCE SA
OPG,ORCO PROPERTY GROUP SA
OPL,ORANGE POLSKA SA
OPM,OPTEAM SA
OPN,OPONEO.PL SA
ORB,ORBIS SA
ORN,ORION INVESTMENT SA
OTM,ZAKŁADY PRZEMYSŁU CUKIERNICZEGO OTMUCHÓW SA
OTS,OT LOGISTICS SA
OVO,OVOSTAR UNION NV
PAT,PATENTUS SA
PBF,PBS FINANSE SA
PBG,PBG SA
PBX,PEKABEX SA
PCE,GRUPA AZOTY POLICE SA
PCG,PC GUARD SA
PCM,PRIME CAR MANAGEMENT SA
PCR,PCC ROKITA SA
PCX,PCC EXOL SA
PDZ,PRAIRIE MINING LIMITED
PEM,PRIVATE EQUITY MANAGERS SA
PEO,BANK POLSKA KASA OPIEKI SA
PEP,POLENERGIA SA
PEX,PEIXIN INTERNATIONAL GROUP NV
PFL,PFLEIDERER GROUP SA
PGE,PGE POLSKA GRUPA ENERGETYCZNA SA
PGM,PMPG POLSKIE MEDIA SA
PGN,POLSKIE GÓRNICTWO NAFTOWE I GAZOWNICTWO SA
PGO,PGO SA
PHN,POLSKI HOLDING NIERUCHOMOŚCI SA
PIW,PLATYNOWE INWESTYCJE SA
PJP,PROJPRZEM MAKRUM SA
PKN,POLSKI KONCERN NAFTOWY ORLEN SA
PKO,POWSZECHNA KASA OSZCZĘDNOŚCI BANK POLSKI SA
PKP,PKP CARGO SA
PLW,PLAYWAY SA
PLX,PRZETWÓRSTWO TWORZYW SZTUCZNYCH PLAST-BOX SA
PLY,PLAY COMMUNICATIONS SA
PLZ,PLAZA CENTERS NV
PMA,PRIMA MODA SA
PMG,PME SA
PMP,PAMAPOL SA
PND,POLNORD SA
POZ,POZBUD T&R SA
PPS,PRZEDSIĘBIORSTWO PRZEMYSŁU SPOŻYWCZEGO PEPEES SA
PRD,PROCAD SA
PRF,PRAGMA FAKTORING SA
PRI,PRAGMA INKASO SA
PRM,PROCHEM SA
PRT,PROTEKTOR SA
PSW,PGS SOFTWARE SA
PTH,PRIMETECH SA
PUE,ZPUE SA
PWX,POLWAX SA
PXM,POLIMEX-MOSTOSTAL SA
PZU,POWSZECHNY ZAKŁAD UBEZPIECZEŃ SA
QMK,QUMAK SA
QNT,QUANTUM SOFTWARE SA
QRS,QUERCUS TFI SA
R22,R22 SA
RAF,FABRYKA OBRABIAREK RAFAMET SA
RBC,RUBICON PARTNERS SA
RBW,RAINBOW TOURS SA
RDL,RADPOL SA
RDN,REDAN SA
REG,REGNON SA
RES,RESBUD SA
RFK,RAFAKO SA
RHD,REINHOLD EUROPE AB
RLP,RELPOL SA
RMK,PRZEDSIĘBIORSTWO MODERNIZACJI URZĄDZEŃ ENERGETYCZNYCH REMAK SA
RNC,REINO CAPITAL SA
RNK,RANK PROGRESS SA
RON,RONSON DEVELOPMENT SE
RPC,ZAKŁADY MAGNEZYTOWE ROPCZYCE SA
RWD,REDWOOD HOLDING SA
RWL,RAWLPLUG SA
SAN,GRUPO SANTANDER
SAR,SARE SA
SCO,SCO-PAK SA
SEK,SEKO SA
SEL,SELENA FM SA
SEN,SERINUS ENERGY INC
SES,SESCOM SA
SET,SETANTA ASI SA
SFG,SILVANO FASHION GROUP AS
SFS,SFINKS POLSKA SA
SGN,SYGNITY SA
SGR,SADOVAYA GROUP SA
SHD,SOHO DEVELOPMENT SA
SHG,STARHEDGE SA
SKA,FABRYKA FARB I LAKIERÓW ŚNIEŻKA SA
SKH,SKARBIEC HOLDING SA
SKL,SKYLINE INVESTMENT SA
SKT,SKOTAN SA
SLV,SELVITA SA
SLZ,SLEEPZ AG
SME,SIMPLE SA
SNK,SANOK RUBBER COMPANY SA
SNT,SYNEKTIK SA
SNW,SANWIL HOLDING SA
SNX,SUNEX SA
SOL,SOLAR COMPANY SA
SON,SONEL SA
SP2,SANTANDER BANK POLSKA SA
SPH,SOPHARMA AD
SPL,SANTANDER BANK POLSKA SA
STF,STALPROFIL SA
STL,STELMET SA
STP,STALPRODUKT SA
STX,STALEXPORT AUTOSTRADY SA
SUW,SUWARY SA
SVRS,SILVAIR INC
SWD,SWISSMED CENTRUM ZDROWIA SA
SWG,SECO/WARWICK SA
TAR,TARCZYŃSKI SA
TBL,T-BULL SA
TEN,TEN SQUARE GAMES SA
TIM,TIM SA
TLX,TALEX SA
TMR,TATRY MOUNTAIN RESORTS AS
TNX,TALANX AG
TOA,TOYA SA
TOR,TORPOL SA
TOW,TOWER INVESTMENTS SA
TPE,TAURON POLSKA ENERGIA SA
TRI,TRITON DEVELOPMENT SA
TRK,TRAKCJA PRKII SA
TRN,TRANS POLONIA SA
TRR,TERMO-REX SA
TSG,TESGAS SA
TXM,TXM SA
U2K,UNIMA 2000 SYSTEMY TELEINFORMATYCZNE SA
UCG,UNICREDIT S.P.A
ULM,ULMA CONSTRUCCION POLSKA SA
UNI,UNIBEP SA
UNT,UNIMOT SA
URS,URSUS SA
VGO,VIGO SYSTEM SA
VIN,GIEŁDA PRAW MAJĄTKOWYCH VINDEXUS SA
VOT,VOTUM SA
VOX,VOXEL SA
VST,VRG SA
VTG,VANTAGE DEVELOPMENT SA
VTI,VENTURE INC SA
VTL,VISTAL GDYNIA SA
VVD,VIVID GAMES SA
WAS,WASKO SA
WAX,WADEX SA
WIK,WIKANA SA
WIS,BALTIC BRIDGE SA
WLB,WILBO SA
WLT,WIELTON SA
WOJ,WOJAS SA
WPL,WIRTUALNA POLSKA HOLDING SA
WSE,WORK SERVICE SA
WTN,WITTCHEN SA
WWL,WAWEL SA
WXF,WARIMPEX FINANZ & UND BETEILIGUNGS AG
XTB,X-TRADE BROKERS SA
XTP,XTPL SA
YOL,YOLO SA
ZAP,GRUPA AZOTY ZAKŁADY AZOTOWE PUŁAWY SA
ZEP,ZESPÓŁ ELEKTROWNI PĄTNÓW-ADAMÓW-KONIN SA
ZMT,ZAMET INDUSTRY SA
ZRE,ZAKŁAD BUDOWY MASZYN ZREMB-CHOJNICE SA
ZST,ZASTAL SA
ZUE,ZUE SA
ZUK,ZAKŁADY URZĄDZEŃ KOTŁOWYCH STĄPORKÓW SA
ZWC,GRUPA ŻYWIEC SA
